GroupName,GroupType,GroupScope,TotalMembers,UserMembers,ComputerMembers,EnabledUsers,DisabledUsers,DisabledUserNames,EnabledComputers,DisabledComputers,DisabledComputerNames,OtherMembers,NestedGroupCount,NestedGroupNames,NameCompliant,NameIssues,Status,Issue,Recommendation,DistinguishedName
"Accounting Team",Security,Global,12,12,0,12,0,"",0,0,"",0,0,"",True,"",Healthy,"","","CN=Accounting Team,OU=Security Groups,DC=contoso,DC=com"
"Finance Admin Group",Security,Global,8,8,0,8,0,"",0,0,"",0,0,"",False,"Contains spaces","Name Issues","Contains spaces","Consider using underscores or hyphens instead of spaces","CN=Finance Admin Group,OU=Security Groups,DC=contoso,DC=com"
"IT-Support@Legacy",Security,Global,15,14,0,13,1,"j.smith",0,0,"",1,1,"Help-Desk (5 members)",False,"Contains special characters: @","Has Disabled + Name Issues","1 disabled user(s) and 0 disabled computer(s) in group| Contains special characters: @","Remove disabled accounts| Remove or replace special characters with hyphens or underscores","CN=IT-Support@Legacy,OU=Security Groups,DC=contoso,DC=com"
"Legacy-Users-Old",Security,Global,6,6,0,0,6,"m.johnson| k.davis| r.wilson| s.brown| t.miller| p.garcia",0,0,"",0,0,"",True,"","Only Disabled","Group contains only disabled accounts","Remove disabled accounts or delete group","CN=Legacy-Users-Old,OU=Security Groups,DC=contoso,DC=com"
"Old-Project-Team",Security,Global,0,0,0,0,0,"",0,0,"",0,0,"",True,"",Empty,"Group has no members","Consider removing this group","CN=Old-Project-Team,OU=Security Groups,DC=contoso,DC=com"
"Server-Admins",Security,DomainLocal,18,15,1,13,2,"old.admin| temp.user",1,0,"",0,2,"Domain-Admins (12 members)| Backup-Operators (4 members)",True,"","Has Disabled","2 disabled user(s) and 0 disabled computer(s) in group","Remove disabled accounts","CN=Server-Admins,OU=Security Groups,DC=contoso,DC=com"
"Workstation Access",Security,Global,45,42,3,42,0,"",3,0,"",0,0,"",False,"Contains spaces","Name Issues","Contains spaces","Consider using underscores or hyphens instead of spaces","CN=Workstation Access,OU=Security Groups,DC=contoso,DC=com"
"HR-Department",Security,Global,23,20,0,17,3,"ex.employee| contractor.temp| intern.summer",0,0,"",0,1,"HR-Managers (4 members)",True,"","Has Disabled","3 disabled user(s) and 0 disabled computer(s) in group","Remove disabled accounts","CN=HR-Department,OU=Security Groups,DC=contoso,DC=com"
"Development Team",Security,Global,28,25,3,25,0,"",3,0,"",0,2,"Senior-Devs (8 members)| QA-Team (6 members)",True,"",Healthy,"","","CN=Development Team,OU=Security Groups,DC=contoso,DC=com"
"Marketing & Sales",Distribution,Global,19,19,0,19,0,"",0,0,"",0,0,"",False,"Contains special characters: &","Name Issues","Contains special characters: &","Remove or replace special characters with hyphens or underscores","CN=Marketing & Sales,OU=Distribution Groups,DC=contoso,DC=com"
"Test-Lab-Computers",Security,Global,12,0,12,0,0,"",10,2,"OLD-PC-01| BROKEN-WS-05",0,0,"",True,"","Has Disabled","0 disabled user(s) and 2 disabled computer(s) in group","Remove disabled accounts","CN=Test-Lab-Computers,OU=Security Groups,DC=contoso,DC=com"
"Temp123",Security,Global,0,0,0,0,0,"",0,0,"",0,0,"",False,"Name contains only numbers","Empty + Name Issues","Group has no members| Name contains only numbers","Consider removing this group| Add descriptive text to the group name","CN=Temp123,OU=Security Groups,DC=contoso,DC=com"
"All-Company",Security,Universal,1247,1156,89,1089,67,"user1.disabled| user2.old| user3.temp| user4.contractor| user5.intern",87,2,"PC-BROKEN-01| WS-OLD-15",2,5,"Employees (856 members)| Contractors (45 members)| Interns (12 members)| IT-Staff (234 members)| Managers (100 members)",True,"","Has Disabled","67 disabled user(s) and 2 disabled computer(s) in group","Remove disabled accounts","CN=All-Company,OU=Security Groups,DC=contoso,DC=com"
"VIP Users",Security,Global,8,8,0,8,0,"",0,0,"",0,0,"",False,"Contains spaces","Name Issues","Contains spaces","Consider using underscores or hyphens instead of spaces","CN=VIP Users,OU=Security Groups,DC=contoso,DC=com"
"Domain-Controllers",Security,Global,5,0,5,0,0,"",5,0,"",0,0,"",True,"",Healthy,"","","CN=Domain-Controllers,OU=Security Groups,DC=contoso,DC=com"